flavor,description,image,price,producer
Guarani Eucalypto,"Guarani Eucalypto to mocno odświeżające, przyjemne połączenie paragwajskiej yerba mate i eukaliptusa.",www.poyerbani.pl/pol_pl_Guarani-Eucalypto-0-5-kg-9759_5.webp,25.99,Guarani
Guarani Eucalypto 50 g,"Guarani Eucalypto to mocno odświeżające, przyjemne połączenie paragwajskiej yerba mate i eukaliptusa.",www.poyerbani.pl/pol_pl_Guarani-Eucalypto-50-g-9761_1.png,4.99,Guarani
Guarani Exotic Rain 50 g,"Guarani Exotic Rain to tropikalna propozycja smakowa paragwajskiej marki yerba mate – bogaty miks ostrokrzewu paragwajskiego i owocowych dodatków. Prezentuje się nieziemsko, a po zaparzeniu dosłownie przenosi na tropikalną wyspę!",www.poyerbani.pl/pol_pl_Guarani-Exotic-Rain-50-g-10530_1.png,4.99,Guarani
Guarani Forest Berries 50 g,"Guarani Forest Berries to zaskakująca kompozycja paragwajskiej yerba mate. Za sprawą dodatku owoców jagodowych charakterystyczny, cierpki smak yerba mate płynnie przechodzi w przyjemnie owocową słodycz.",www.poyerbani.pl/pol_pl_Guarani-Forest-Berries-50-g-11103_1.webp,4.99,Guarani
Guarani Fresco 50 g,"Guarani Fresco - jak sama nazwa wskazuje, jest to bardzo świeże, oryginalne połączenie paragwajskiej, suszonej dymem yerba mate i aromatycznych, mocno orzeźwiających ziół.",www.poyerbani.pl/pol_pl_Guarani-Fresco-50-g-9856_1.png,4.99,Guarani
Guarani Katuava,Guarani Katuava to znakomita w smaku mieszanka ostrokrzewu paragwajskiego z katuavą.,www.poyerbani.pl/pol_pl_Guarani-Katuava-0-5kg-4606_3.webp,25.99,Guarani
Guarani Katuava 50g,unknown,www.poyerbani.pl/pol_pl_Guarani-Katuava-50g-5543_4.png,4.99,Guarani
Guarani Maracuya,"Guarani Maracuya to propozycja dla miłośników smakowej yerba mate. Dymne aromaty przeplatają się z egzotycznym posmakiem, co daje bardzo interesującą fuzję!",www.poyerbani.pl/pol_pl_Guarani-Maracuya-0-5kg-5103_5.webp,25.99,Guarani
Guarani Maracuya 50g,"Guarani Maracuya to propozycja dla miłośników smakowej yerba mate. Dymne aromaty przeplatają się z egzotycznym posmakiem, co daje bardzo interesującą fuzję!",www.poyerbani.pl/pol_pl_Guarani-Maracuya-50g-5544_4.png,4.99,Guarani
Guarani Mas Inteligente 50 g,"Guarani Mas Inteligente to dopracowana kompozycja yerba mate, dedykowana szczególnie osobom narażonym na wytężony wysiłek umysłowy. W jej składzie znajduje się m.in. guarana, która stanowi dodatkową porcję kofeiny.",www.poyerbani.pl/pol_pl_Guarani-Mas-Inteligente-50-g-10531_1.png,4.99,Guarani
Guarani Menta Limon (miętowo-cytrynowa),"Guarani Menta Limon to nawiązująca do tradycji, mocno orzeźwiająca yerba mate. Głęboki smak przeplata się z interesującym aromatem mięty i cytryny.",www.poyerbani.pl/pol_pl_Guarani-Menta-Limon-mietowo-cytrynowa-0-5kg-4605_4.webp,25.99,Guarani
Guarani Menta Limon 50g,"Guarani Menta Limon to nawiązująca do tradycji, mocno orzeźwiająca yerba mate. Głęboki smak przeplata się z interesującym aromatem mięty i cytryny.",www.poyerbani.pl/pol_pl_Guarani-Menta-Limon-50g-5545_4.png,4.99,Guarani
Guarani Naranja,"Guarani Naranja to doskonałe połączenie pylastej, mocnej yerba mate z orzeźwiającą pomarańczą.",www.poyerbani.pl/pol_pl_Guarani-Naranja-0-5kg-7561_2.webp,25.99,Guarani
Guarani Naranja 50g,"Guarani Naranja to doskonałe połączenie pylastej, mocnej yerba mate z orzeźwiającą pomarańczą.",www.poyerbani.pl/pol_pl_Guarani-Naranja-50g-7564_4.png,4.99,Guarani
Guarani Wild Jungle 50 g,"Guarani Wild Jungle to bogate połączenie paragwajskiej yerba mate i zaskakujących, owocowo-ziołowych dodatków.",www.poyerbani.pl/pol_pl_Guarani-Wild-Jungle-50-g-9852_1.png,4.99,Guarani
Indega Compuesta Menta Boldo,"Indega Compuesta Menta Boldo 500 g 0,5 kg to paragwajska yerba z naturalnymi dodatkami mięty pieprzowej oraz boldo. Idealna ziołowa mieszana yerba mate.",www.poyerbani.pl/pol_pl_Indega-Compuesta-Menta-Boldo-0-5kg-882_1.png,26.90,Indega S.A.
Indega Fresca,"Indega Fresca 0,5 kg 500 g to paragwajska yerba mate z dodatkiem ziół. Wyrazisty goryczkowy smak świetnie łączy się z orzeźwiającymi dodatkami. Całość doskonale pobudza. Spróbuj!",www.poyerbani.pl/pol_pl_Indega-Fresca-0-5kg-1200_1.png,24.90,Indega S.A.
Indega Kuna Guapa,"Indega Kuna Guapa to paragwajska, pylasta yerba mate połączona została w zaskakującą ziołowo-owocową mieszankę.",www.poyerbani.pl/pol_pl_Indega-Kuna-Guapa-0-5kg-9493_1.png,19.99,Indega S.A.
Kurupi Anis (anyżowa),"Kurupi Anis to paragwajska propozycja suszu mocnego w smaku i o wyrazistym aromacie połączonego z anyżem, który nadaje mu delikatnie słodkawego, korzennego zapachu.",www.poyerbani.pl/pol_pl_Kurupi-Anis-anyzowa-0-5kg-4607_1.png,27.99,Kurupi
Kurupi Katuava Especial,Kurupi Katuava y Burrito 500 g to paragwajska yerba mate z dodatkiem kory catuaby oraz zioła burrito. Ziołowy aromat równoważy goryczkę. Doskonale pobudza. Spróbuj!,www.poyerbani.pl/pol_pl_Kurupi-Katuava-Especial-0-5kg-1234_1.png,27.99,Kurupi
Kurupi Yorador Citrus (cytrusowa),Kurupi Citrus to doskonałe połączenie naturalnych walorów yerba mate z cytrusową świeżością. Yerba adresowana do wielbicieli naturalnie owocowych smaków. Doskonałej jakości susz od uznanego producenta.,www.poyerbani.pl/pol_pl_Kurupi-Yorador-Citrus-cytrusowa-0-5kg-4221_2.png,27.99,Kurupi
Pajarito Menta Limon (miętowo-cytrynowa),"Pajarito Menta Limón 0,5 kg 500 g to yerba mate z Paragwaju o smaku miętowo-cytrynowym. Całość doskonale orzeźwia i dobrze pobudza. Polecamy!",www.poyerbani.pl/pol_pl_Pajarito-Menta-Limon-mietowo-cytrynowa-0-5kg-1330_1.png,29.90,Pajarito
